"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,13.12,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16695.88,Kč,2014,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,35.31,1.0,kg,2014
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,88.09,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,10.55,0.5,l,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.74,1.0,l,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,24.16,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,16.93,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Mrkev,117106,18.59,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Papriky,117103,61.86,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,37.1,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,34.3,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.79,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Pomeranče,116101,31.37,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,93.3,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Máslo,115101,154.8,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,30.48,10.0,ks,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,141.97,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,7.7,150.0,g,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,19.34,1.0,l,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,126.24,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,69.3,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,115.87,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,207.19,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,41.0,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,41.98,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,23.12,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,13.34,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16427.63,Kč,2013,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,34.73,1.0,kg,2013
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,90.09,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,10.16,0.5,l,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.89,1.0,l,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,24.27,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,10.56,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Mrkev,117106,17.44,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Papriky,117103,58.83,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,37.85,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,31.0,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.0,1.0,kg,2012
Průměrná hrubá mzda na zaměstnance,16487.75,Kč,2012,Administrativní a podpůrné činnosti,N,Pomeranče,116101,30.19,1.0,kg,2012
